dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,full_score,partial_scores_mean,diff_full_partial
Accent,868,var,None,0.0,True,True,0.01,64,0.6201465129852295,0.607 +- 0.012,0.7358490824699402,0.711 +- 0.019,0.607,0.711,0.6201465129852295,0.607,0.013146512985229508
Accent,243,l1,mult,0.5,True,True,0.01,32,0.6190476417541504,0.605 +- 0.02,0.6792452931404114,0.667 +- 0.016,0.605,0.667,0.6190476417541504,0.605,0.014047641754150408
Accent,216,l1,avg,1.0,False,False,0.1,64,0.6047618985176086,0.604 +- 0.002,0.6603773832321167,0.667 +- 0.014,0.604,0.667,0.6047618985176086,0.604,0.0007618985176086612
Accent,55,l1,None,1.0,True,False,0.001,32,0.6142857074737549,0.604 +- 0.01,0.6792452931404114,0.667 +- 0.014,0.604,0.667,0.6142857074737549,0.604,0.010285707473754901
Accent,192,l1,avg,0.5,False,False,0.1,64,0.6095238327980042,0.603 +- 0.009,0.698113203048706,0.679 +- 0.017,0.603,0.679,0.6095238327980042,0.603,0.00652383279800417
Accent,265,l1,mult,1.0,True,True,0.001,32,0.6128205060958862,0.603 +- 0.008,0.6603773832321167,0.664 +- 0.01,0.603,0.664,0.6128205060958862,0.603,0.00982050609588625
Accent,1151,var,mult,1.0,False,False,0.1,32,0.6142857074737549,0.603 +- 0.014,0.6792452931404114,0.668 +- 0.018,0.603,0.668,0.6142857074737549,0.603,0.011285707473754902
Accent,108,l1,loss,0.5,True,False,0.1,64,0.6047618985176086,0.602 +- 0.004,0.698113203048706,0.679 +- 0.015,0.602,0.679,0.6047618985176086,0.602,0.002761898517608663
Accent,254,l1,mult,0.5,False,True,0.001,64,0.6150183081626892,0.601 +- 0.024,0.6603773832321167,0.657 +- 0.013,0.601,0.657,0.6150183081626892,0.601,0.01401830816268923
Accent,524,l2,mult,0.0,False,False,0.001,64,0.6190476417541504,0.6 +- 0.015,0.6415094137191772,0.643 +- 0.021,0.6,0.643,0.6190476417541504,0.6,0.019047641754150413
Accent,29,l1,None,0.5,True,True,0.1,32,0.6073260307312012,0.599 +- 0.006,0.6603773832321167,0.656 +- 0.008,0.599,0.656,0.6073260307312012,0.599,0.008326030731201195
Accent,50,l1,None,1.0,True,True,0.001,64,0.6109890341758728,0.598 +- 0.012,0.6792452931404114,0.668 +- 0.02,0.598,0.668,0.6109890341758728,0.598,0.012989034175872827
Accent,30,l1,None,0.5,True,True,0.1,64,0.6029304265975952,0.597 +- 0.004,0.7358490824699402,0.723 +- 0.018,0.597,0.723,0.6029304265975952,0.597,0.00593042659759524
Accent,211,l1,avg,1.0,False,False,0.001,32,0.6095238327980042,0.597 +- 0.012,0.6792452931404114,0.668 +- 0.014,0.597,0.668,0.6095238327980042,0.597,0.012523832798004175
Accent,137,l1,loss,1.0,False,True,0.1,32,0.6014652252197266,0.596 +- 0.005,0.6792452931404114,0.678 +- 0.005,0.596,0.678,0.6014652252197266,0.596,0.005465225219726588
Accent,948,var,loss,0.0,True,False,0.1,64,0.6142857074737549,0.595 +- 0.018,0.6226415038108826,0.629 +- 0.022,0.595,0.629,0.6142857074737549,0.595,0.01928570747375491
Accent,44,l1,None,0.5,False,False,0.001,64,0.6047618985176086,0.592 +- 0.015,0.6792452931404114,0.664 +- 0.015,0.592,0.664,0.6047618985176086,0.592,0.012761898517608672
Accent,33,l1,None,0.5,True,False,0.01,32,0.6095238327980042,0.592 +- 0.013,0.698113203048706,0.671 +- 0.014,0.592,0.671,0.6095238327980042,0.592,0.01752383279800418
